"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 02:01:23 IST 2024","Sun Feb 18 02:01:23 IST 2024","6","testcases","test_016_screenshot","Test_016_screenshot","","","test_016_sum",""
"passed","Sun Feb 18 02:01:03 IST 2024","Sun Feb 18 02:01:23 IST 2024","19896","testcases","test_016_screenshot","Test_016_screenshot","","","test_016_ss",""
